# n(H2O), Energy, Basal spacing, Coordination No., Pressure increment
0.25, -3.48295, 10.95736, 1.2, 2651.24312
0.5, -9.16395, 11.92913, 2.8, 694.06751
0.75, -12.602625, 12.2049, 3.9, 188.59168000000003
1.0, -15.929599999999999, 12.37158, 4.5, 105.40767
1.25, -19.444125, 12.52646, 4.8, 72.85649
1.5, -22.9644, 12.66593, 4.9, 45.93052
1.75, -26.904674999999997, 12.90564, 5.0, 95.52059
2.0, -30.4438, 13.58409, 5.5, 277.72527
2.25, -33.950025000000004, 13.91594, 5.9, 110.14289
2.5, -37.182, 14.06995, 6.1, 92.76451
2.75, -40.20830000000001, 14.37856, 6.5, 121.05617000000001
3.0, -43.3635, 14.91146, 7.2, 149.5556
3.25, -46.245225, 15.03096, 7.6, 72.26104
3.5, -50.20015, 15.17216, 7.7, 64.52277
3.75, -54.534375000000004, 15.39561, 7.6, 65.09812
4.0, -58.1892, 15.55807, 7.8, 30.29897
4.25, -61.985825000000006, 15.80411, 7.7, 83.27132
4.5, -66.0006, 16.0279, 7.8, 66.28829999999999
4.75, -69.8858, 16.1928, 8.0, 60.6345
5.0, -73.792, 16.44128, 8.0, 44.15771
5.25, -78.7353, 16.70429, 8.0, 90.14531000000001
5.5, -81.8433, 17.03659, 7.8, 91.04658
5.75, -86.0223, 17.39711, 8.0, 104.42417
6.0, -89.83019999999999, 17.80485, 7.8, 125.13937
6.25, -92.501875, 18.17192, 7.8, 90.59268
6.5, -96.46975, 18.45543, 7.9, 59.71167
6.75, -100.386675, 18.79799, 7.8, 73.5251
7.0, -103.2696, 19.05592, 7.8, 32.30923
7.25, -107.72919999999999, 19.35621, 7.9, 77.33234999999999
7.5, -111.84525000000001, 19.63921, 7.8, 20.91271
7.75, -116.01827499999999, 19.86468, 7.8, 54.32518
8.0, -119.212, 20.1933, 7.9, 66.78454
8.25, -123.2979, 20.50705, 7.9, 89.19913
8.5, -126.28705000000001, 20.93423, 7.9, 80.85831
