# n(H2O), Energy, Basal spacing, Coordination No., Pressure increment
0.25, -2.5007, 10.96099, 1.0, 2091.94127
0.5, -5.9546, 11.95182, 1.5, 665.05866
0.75, -8.613824999999999, 12.39085, 2.2, 200.46341
1.0, -11.2394, 12.47095, 2.8, 16.46808
1.25, -14.580124999999999, 12.6455, 3.1, 39.30168
1.5, -17.90265, 12.76548, 3.2, 48.76477
1.75, -21.552125, 12.88836, 3.4, 15.20893
2.0, -25.335800000000003, 13.0517, 3.5, 87.07392999999999
2.25, -29.147175, 13.10831, 3.6, 39.25386
2.5, -32.945750000000004, 13.27211, 3.9, 63.177620000000005
2.75, -36.895925, 13.59266, 4.0, 163.05111
3.0, -39.658500000000004, 14.21511, 4.4, 312.54778
3.25, -41.173925000000004, 14.92796, 4.8, 191.2081
3.5, -45.15, 15.20372, 5.0, 75.36108
3.75, -48.653999999999996, 15.40785, 5.2, 41.1503
4.0, -52.7372, 15.57958, 5.3, 45.43459
4.25, -56.7647, 15.74858, 5.4, 56.56365
4.5, -60.822900000000004, 15.94748, 5.4, 37.21393
4.75, -64.75009999999999, 16.20862, 5.4, 57.39911
5.0, -69.47999999999999, 16.42296, 5.5, 54.226290000000006
5.25, -74.21662500000001, 16.88142, 5.4, 149.71691
5.5, -76.7459, 17.23171, 5.4, 96.46245
5.75, -80.4425, 17.64143, 5.5, 86.65747999999999
6.0, -83.9418, 17.8987, 5.6, 78.98094
6.25, -87.793125, 18.23877, 5.6, 33.82405
6.5, -91.02015, 18.56728, 5.6, 23.30218
6.75, -94.664025, 18.86288, 5.6, 56.94624
7.0, -98.6223, 19.12796, 5.6, 38.90301
7.25, -102.994225, 19.33433, 5.6, 47.057410000000004
7.5, -106.6245, 19.69566, 5.6, 43.326829999999994
7.75, -111.047425, 19.97607, 5.4, 85.69019
8.0, -114.24, 20.32494, 5.6, 49.40274
8.25, -118.094625, 20.66953, 5.6, 73.79913
8.5, -121.79990000000001, 20.94218, 5.6, 88.73768
