# basal spacing (Na, Ca), n(H2O)(Na, Ca), increment dn of H2O molecules(Na, Ca)
9.8, 9.8, 0.0, 0.0, 0.33316985798967974, 0.3509008326174953
10.96099, 10.95736, 0.25, 0.25, 0.38923894444626017, 0.40757502641086174
11.95182, 11.92913, 0.5, 0.5, 0.45319000444126156, 0.47187261704328437
12.39085, 12.2049, 0.75, 0.75, 0.5376355648076676, 0.5636940449106322
12.47095, 12.37158, 1.0, 1.0, 0.9120659022338311, 0.9310709550553468
12.6455, 12.52646, 1.25, 1.25, 1.565052992694332, 1.0612556777178794
12.76548, 12.66593, 1.5, 1.5, 1.9257285030927238, 0.8551247627028766
12.88836, 12.90564, 1.75, 1.75, 1.9778950449773354, 0.8096248198584768
13.0517, 13.58409, 2.0, 2.0, 1.7196431396556675, 0.7677849710698633
13.10831, 13.91594, 2.25, 2.25, 1.1606691025242295, 0.6723231453966027
13.27211, 14.06995, 2.5, 2.5, 0.7805158272999466, 0.724073114006758
13.59266, 14.37856, 2.75, 2.75, 0.62945813725712, 0.9248674664920512
14.21511, 14.91146, 3.0, 3.0, 0.590855913876843, 0.9682866748261038
14.92796, 15.03096, 3.25, 3.25, 0.6064046028534991, 0.997936267798192
15.20372, 15.17216, 3.5, 3.5, 0.710148591491281, 1.2064705428152172
15.40785, 15.39561, 3.75, 3.75, 0.9792439453346862, 1.3230383310665301
15.57958, 15.55807, 4.0, 4.0, 1.2349216071763736, 1.239108238582863
15.74858, 15.80411, 4.25, 4.25, 1.237617635556259, 1.2098862222996563
15.94748, 16.0279, 4.5, 4.5, 1.0790047260407032, 1.140568185447262
16.20862, 16.1928, 4.75, 4.75, 0.897675737979225, 1.0509942405515578
16.42296, 16.44128, 5.0, 5.0, 0.7868860714870267, 0.9609138675245595
16.88142, 16.70429, 5.25, 5.25, 0.7387641362517442, 0.8385716106612693
17.23171, 17.03659, 5.5, 5.5, 0.7130856929338889, 0.7479006428953948
17.64143, 17.39711, 5.75, 5.75, 0.7139450604997064, 0.7180235396837235
17.8987, 17.80485, 6.0, 6.0, 0.7536862795934895, 0.7117356670671421
18.23877, 18.17192, 6.25, 6.25, 0.8018731757385227, 0.7309492691969227
18.56728, 18.45543, 6.5, 6.5, 0.8555315246256252, 0.778774955843457
18.86288, 18.79799, 6.75, 6.75, 0.8642982589575889, 0.8281847845891295
19.12796, 19.05592, 7.0, 7.0, 0.872393288852905, 0.8690996822571566
19.33433, 19.35621, 7.25, 7.25, 0.8708222303498983, 0.8914054254499841
19.69566, 19.63921, 7.5, 7.5, 0.8323262186088193, 0.8782900746195244
19.97607, 19.86468, 7.75, 7.75, 0.79379695308977, 0.8253140319891802
20.32494, 20.1933, 8.0, 8.0, 0.8758500124370704, 0.8701584384484706
20.66953, 20.50705, 8.25, 8.25, 1.0059228738814197, 0.895495656846063
20.94218, 20.93423, 8.5, 8.5, 1.009073589718743, 0.8351539689857325
