35
# n(H2O), h(basal spacing [nm]) 
0.000000, 0.980000
0.250000, 1.096099
0.500000, 1.195182
0.750000, 1.239085
1.000000, 1.247095
1.250000, 1.264550
1.500000, 1.276548
1.750000, 1.288836
2.000000, 1.305170
2.250000, 1.310831
2.500000, 1.327211
2.750000, 1.359266
3.000000, 1.421511
3.250000, 1.492796
3.500000, 1.520372
3.750000, 1.540785
4.000000, 1.557958
4.250000, 1.574858
4.500000, 1.594748
4.750000, 1.620862
5.000000, 1.642296
5.250000, 1.688142
5.500000, 1.723171
5.750000, 1.764143
6.000000, 1.789870
6.250000, 1.823877
6.500000, 1.856728
6.750000, 1.886288
7.000000, 1.912796
7.250000, 1.933433
7.500000, 1.969566
7.750000, 1.997607
8.000000, 2.032494
8.250000, 2.066953
8.500000, 2.094218
