51
# n(H2O), h(basal spacing [nm]) 
0.000000, 0.980000
0.047986, 1.002284
0.095971, 1.024569
0.143957, 1.046853
0.191943, 1.069137
0.239928, 1.091422
0.294425, 1.113706
0.350652, 1.135991
0.406878, 1.158275
0.463105, 1.180559
0.543628, 1.202844
0.670523, 1.225128
1.004545, 1.247412
1.357240, 1.269697
1.798136, 1.291981
2.302418, 1.314265
2.572834, 1.336550
2.746632, 1.358834
2.837768, 1.381118
2.927271, 1.403403
3.014646, 1.425687
3.092798, 1.447972
3.170951, 1.470256
3.249103, 1.492540
3.449708, 1.514825
3.704980, 1.537109
4.021233, 1.559393
4.335718, 1.581678
4.588210, 1.603962
4.812803, 1.626246
5.033999, 1.648531
5.155516, 1.670815
5.285382, 1.693100
5.444424, 1.715384
5.588458, 1.737668
5.724431, 1.759953
5.925827, 1.782237
6.107708, 1.804521
6.272288, 1.826806
6.441874, 1.849090
6.623870, 1.871374
6.819514, 1.893659
7.038125, 1.915943
7.283172, 1.938227
7.437355, 1.960512
7.617954, 1.982796
7.803555, 2.005081
7.963245, 2.027365
8.124462, 2.049649
8.295669, 2.071934
8.500000, 2.094218
